code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,hsl
"""股票代码""","""股票名称""","""K线类别""","""复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权""","""交易时间""","""开盘价""","""收盘价""","""最高价""","""最低价""","""成交量""","""成交额""","""换手率"""
000001,平安银行,101,0,2022-07-15,13.48,13.24,13.56,13.22,1598640.0,2.13992E9,0.82
000002,万  科Ａ,101,0,2022-07-15,18.33,17.62,18.37,17.6,1247550.0,2.2253399E9,1.28
000004,ST国华,101,0,2022-07-15,8.61,8.27,8.65,8.27,51116.0,4.26004E7,4.39
000005,ST星源,101,0,2022-07-15,1.72,1.69,1.74,1.68,82739.0,1.4058E7,0.78
000006,深振业Ａ,101,0,2022-07-15,4.3,4.15,4.3,4.15,165872.0,6.9777104E7,1.23
000007,全新好,101,0,2022-07-15,7.88,7.89,7.96,7.77,137312.0,1.07789E8,4.44
000008,神州高铁,101,0,2022-07-15,2.48,2.38,2.48,2.38,335743.0,8.1340896E7,1.25
000009,中国宝安,101,0,2022-07-15,12.4,12.21,12.66,12.2,408585.0,5.07920992E8,1.6
000010,美丽生态,101,0,2022-07-15,3.68,3.5,3.69,3.48,169198.0,6.02905E7,3.24
000011,深物业A,101,0,2022-07-15,11.05,10.39,11.05,10.38,126767.0,1.34136E8,2.41
000012,南  玻Ａ,101,0,2022-07-15,6.81,6.51,6.81,6.51,300636.0,1.99238E8,1.54
000014,沙河股份,101,0,2022-07-15,8.34,7.82,8.4,7.8,127691.0,1.02158E8,5.28
000016,深康佳Ａ,101,0,2022-07-15,5.52,5.42,5.54,5.41,161707.0,8.85146E7,1.01
000017,深中华A,101,0,2022-07-15,4.29,4.03,4.31,4.03,225614.0,9.3390896E7,7.45
000019,深粮控股,101,0,2022-07-15,7.52,7.32,7.55,7.32,93807.0,6.92738E7,2.25
000020,深华发Ａ,101,0,2022-07-15,8.92,8.8,9.01,8.8,23326.0,2.0729E7,1.29
000021,深科技,101,0,2022-07-15,10.87,11.66,11.79,10.83,685189.0,7.8750003E8,4.39
000023,深天地Ａ,101,0,2022-07-15,10.75,10.28,10.76,10.26,38080.0,3.95607E7,2.74
000025,特  力Ａ,101,0,2022-07-15,24.11,23.67,25.2,23.61,279426.0,6.8213702E8,7.11
000026,飞亚达,101,0,2022-07-15,9.97,9.41,9.99,9.36,56499.0,5.44987E7,1.57
000027,深圳能源,101,0,2022-07-15,6.61,6.54,6.69,6.51,291612.0,1.92480992E8,0.61
000028,国药一致,101,0,2022-07-15,29.18,28.28,29.3,28.26,17099.0,4.90479E7,0.46
000029,深深房Ａ,101,0,2022-07-15,10.82,10.0,11.04,9.89,177269.0,1.81444E8,1.99
000030,富奥股份,101,0,2022-07-15,5.69,5.52,5.73,5.52,61593.0,3.47379E7,0.35
000031,大悦城,101,0,2022-07-15,3.65,3.51,3.68,3.46,239449.0,8.4845E7,1.27
000032,深桑达Ａ,101,0,2022-07-15,14.75,14.39,14.76,14.26,27381.0,3.95922E7,0.43
000034,神州数码,101,0,2022-07-15,15.68,15.22,15.71,15.21,105768.0,1.62939008E8,1.96
000035,中国天楹,101,0,2022-07-15,5.21,5.03,5.25,5.0,344905.0,1.75239008E8,1.41
000036,华联控股,101,0,2022-07-15,3.92,3.86,3.94,3.85,91948.0,3.58086E7,0.62
000037,深南电A,101,0,2022-07-15,7.75,7.69,7.93,7.67,129259.0,1.00469E8,3.81
000038,*ST大通,101,0,2022-07-15,4.24,4.32,4.32,4.19,54325.0,2.31835E7,2.17
000039,中集集团,101,0,2022-07-15,13.1,13.03,13.23,13.0,100311.0,1.3148E8,0.65
000040,东旭蓝天,101,0,2022-07-15,3.4,3.33,3.44,3.31,447529.0,1.5027E8,4.22
000042,中洲控股,101,0,2022-07-15,9.27,8.85,9.31,8.84,28148.0,2.5282E7,0.42
000045,深纺织Ａ,101,0,2022-07-15,7.17,6.93,7.17,6.93,34736.0,2.43338E7,0.76
000046,泛海控股,101,0,2022-07-15,1.43,1.3,1.43,1.3,875389.0,1.15902E8,1.69
000048,京基智农,101,0,2022-07-15,19.64,19.01,19.64,18.89,56941.0,1.09264E8,1.09
000049,德赛电池,101,0,2022-07-15,46.81,45.68,47.89,45.5,186632.0,8.6098202E8,6.25
000050,深天马Ａ,101,0,2022-07-15,9.55,9.32,9.58,9.32,83338.0,7.85874E7,0.35
000055,方大集团,101,0,2022-07-15,5.8,5.22,6.12,5.2,1761020.0,9.8387398E8,26.0
